dataset,statistic_type,statistic_config,build_window_size_sec,bytesPerSecond,query_name,time,tuplesPerSecond,tuplesPerSecond_listener,latency_listener,executionMode,numberOfWorkerThreads,buffersInGlobalBufferManager,joinStrategy,bufferSizeInBytes,pageSize,enableLatency,statisticStoreType,issue
Nexmark,CountMin,"(10, 100, uint64)",60,524645362.094143,Nexmark_CountMinBuild_10_100_uint64_60sec,12.729579172,14453873.02391806,-1,,COMPILER,1,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,CountMin,"(10, 100, uint64)",60,524697485.73219013,Nexmark_CountMinBuild_10_100_uint64_60sec,12.728314611,14455309.019545415,-1,,COMPILER,1,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,CountMin,"(10, 100, uint64)",60,565582034.6330236,Nexmark_CountMinBuild_10_100_uint64_60sec,11.808215723,15581670.026710436,-1,,COMPILER,1,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,CountMin,"(10, 100, uint64)",60,2092808389.766335,Nexmark_CountMinBuild_10_100_uint64_60sec,3.1911735,57656445.5050783,-1,,COMPILER,4,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,CountMin,"(10, 100, uint64)",60,2113441766.1734636,Nexmark_CountMinBuild_10_100_uint64_60sec,3.160018308,58224890.82870212,-1,,COMPILER,4,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,CountMin,"(10, 100, uint64)",60,2083236110.6109383,Nexmark_CountMinBuild_10_100_uint64_60sec,3.20583665,57392731.16114634,-1,,COMPILER,4,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,CountMin,"(10, 100, uint64)",60,6904524150.01845,Nexmark_CountMinBuild_10_100_uint64_60sec,0.967266466,190218236.09875876,-1,,COMPILER,16,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,CountMin,"(10, 100, uint64)",60,7412355198.375,Nexmark_CountMinBuild_10_100_uint64_60sec,0.900997658,204208878.19888207,-1,,COMPILER,16,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
Nexmark,CountMin,"(10, 100, uint64)",60,6972631918.679961,Nexmark_CountMinBuild_10_100_uint64_60sec,0.957818332,192094591.27370304,-1,,COMPILER,16,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
ClusterMonitoring,Reservoir,100,1,364393250.7677754,ClusterMonitoring_ReservoirBuild_100_1sec,4.192618754,4448068.878718754,-1,,COMPILER,1,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
ClusterMonitoring,Reservoir,100,1,365696586.6655417,ClusterMonitoring_ReservoirBuild_100_1sec,4.177676338,4463978.415553358,-1,,COMPILER,1,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
ClusterMonitoring,Reservoir,100,1,363916381.2183777,ClusterMonitoring_ReservoirBuild_100_1sec,4.198112687,4442247.836212025,-1,,COMPILER,1,200000,HASH_JOIN,102400,8192,False,SUB_STORES,ok
